ProteinName	ExperiemntName	SpikedInMols	LFAQ	
sp|P12081ups|SYHC_HUMAN_UPS	UPS2_Yeast_R2	1.69897000433602	9.06207030586886	
sp|P12081ups|SYHC_HUMAN_UPS	UPS2_Yeast_R3	1.69897000433602	8.9962186872521	
sp|P15559ups|NQO1_HUMAN_UPS	UPS2_Yeast_R1	2.69897000433602	9.81248152011728	
sp|P15559ups|NQO1_HUMAN_UPS	UPS2_Yeast_R2	2.69897000433602	9.88371479616458	
sp|P15559ups|NQO1_HUMAN_UPS	UPS2_Yeast_R3	2.69897000433602	9.79125543493663	
sp|P16083ups|NQO2_HUMAN_UPS	UPS2_Yeast_R1	1.69897000433602	8.84500806969576	
sp|P16083ups|NQO2_HUMAN_UPS	UPS2_Yeast_R2	1.69897000433602	8.96804843677992	
sp|P16083ups|NQO2_HUMAN_UPS	UPS2_Yeast_R3	1.69897000433602	8.87819882689769	
sp|P41159ups|LEP_HUMAN_UPS	UPS2_Yeast_R1	3.69897000433602	10.5636578523604	
sp|P41159ups|LEP_HUMAN_UPS	UPS2_Yeast_R2	3.69897000433602	10.5677883607667	
sp|P41159ups|LEP_HUMAN_UPS	UPS2_Yeast_R3	3.69897000433602	10.5107661223958	
sp|P55957ups|BID_HUMAN_UPS	UPS2_Yeast_R1	0.698970004336019	8.02328539066814	
sp|P55957ups|BID_HUMAN_UPS	UPS2_Yeast_R2	0.698970004336019	8.04417508217285	
sp|P55957ups|BID_HUMAN_UPS	UPS2_Yeast_R3	0.698970004336019	8.01374702454997	
sp|P61626ups|LYSC_HUMAN_UPS	UPS2_Yeast_R1	1.69897000433602	8.73669044803251	
sp|P61626ups|LYSC_HUMAN_UPS	UPS2_Yeast_R2	1.69897000433602	8.80860118980564	
sp|P61626ups|LYSC_HUMAN_UPS	UPS2_Yeast_R3	1.69897000433602	8.82623747061338	
sp|P61769ups|B2MG_HUMAN_UPS	UPS2_Yeast_R1	0.698970004336019	8.14711029083544	
sp|P61769ups|B2MG_HUMAN_UPS	UPS2_Yeast_R2	0.698970004336019	8.16213408056718	
sp|P61769ups|B2MG_HUMAN_UPS	UPS2_Yeast_R3	0.698970004336019	7.8408309868698	
sp|P62937ups|PPIA_HUMAN_UPS	UPS2_Yeast_R1	2.69897000433602	9.82186383587561	
sp|P62937ups|PPIA_HUMAN_UPS	UPS2_Yeast_R2	2.69897000433602	9.91655606154982	
sp|P62937ups|PPIA_HUMAN_UPS	UPS2_Yeast_R3	2.69897000433602	9.92394982114186	
sp|P62988ups|UBIQ_HUMAN_UPS	UPS2_Yeast_R1	3.69897000433602	10.3032608726556	
sp|P62988ups|UBIQ_HUMAN_UPS	UPS2_Yeast_R2	3.69897000433602	10.4457613925392	
sp|P62988ups|UBIQ_HUMAN_UPS	UPS2_Yeast_R3	3.69897000433602	10.3822350361218	
sp|P63165ups|SUMO1_HUMAN_UPS	UPS2_Yeast_R1	2.69897000433602	9.56683330348333	
sp|P63165ups|SUMO1_HUMAN_UPS	UPS2_Yeast_R2	2.69897000433602	9.57200796116027	
sp|P63165ups|SUMO1_HUMAN_UPS	UPS2_Yeast_R3	2.69897000433602	9.54016924439012	
